"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2022-01-01 ~ 2022-12-31"
"실거래구분 : 아파트(전월세)"
"주소구분 : 지번주소"
"시도 : 인천광역시"
"시군구 : 부평구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"116","인천광역시 부평구 갈산동","159","0159","0000","대우","전세","59.9300","202212","27","27,600","0","8","2001","평천로305번길 15","202212~202304","갱신","-","27,600","0","아파트"
"117","인천광역시 부평구 산곡동","179-92","0179","0092","현대(179-92)","월세","59.9500","202212","27","2,000","70","17","1999","원적로269번길 15","202302~202701","갱신","-","19,000","0","아파트"
"118","인천광역시 부평구 산곡동","82-36","0082","0036","동원(82-36)","전세","46.8000","202212","27","12,000","0","1","1989","길주로326번길 45","202301~202501","신규","-","","","아파트"
"119","인천광역시 부평구 삼산동","390-6","0390","0006","삼산주공미래타운3차","월세","59.3900","202212","27","2,000","80","15","2000","부평북로 463","202302~202502","신규","-","","","아파트"
"120","인천광역시 부평구 삼산동","359","0359","0000","광명12차","전세","47.2600","202212","27","10,000","0","6","1990","후정동로 63","202301~202501","신규","-","","","아파트"
"121","인천광역시 부평구 삼산동","453-1","0453","0001","삼산타운7단지","전세","84.0700","202212","27","34,000","0","2","2004","체육관로 27","202302~202502","신규","-","","","아파트"
"122","인천광역시 부평구 삼산동","440-1","0440","0001","삼산타운주공1단지","전세","59.9900","202212","27","28,000","0","4","2005","굴포로 105","202301~202501","갱신","사용","28,875","0","아파트"
"123","인천광역시 부평구 산곡동","264-1","0264","0001","뉴서울(264-1)","전세","84.8900","202212","27","17,000","0","15","1991","부흥로123번길 36","202301~202501","신규","-","","","아파트"
"124","인천광역시 부평구 산곡동","91-2","0091","0002","부평IPARK","전세","69.1900","202212","27","40,000","0","28","2020","길주로364번길 9","202301~202401","신규","-","","","아파트"
"125","인천광역시 부평구 산곡동","294-35","0294","0035","우성3차(294-35)","전세","72.9400","202212","27","20,000","0","13","1990","부영로 165","202301~202501","신규","-","","","아파트"
"126","인천광역시 부평구 부평동","65-124","0065","0124","한국1","월세","59.8020","202212","27","5,000","40","12","1998","부영로166번길 12","202301~202501","신규","-","","","아파트"
"127","인천광역시 부평구 부평동","70-5","0070","0005","동아(1차)","전세","52.4300","202212","27","18,900","0","14","1988","부평문화로 37","202301~202501","신규","-","","","아파트"
"128","인천광역시 부평구 부평동","962","0962","0000","부평SKVIEW해모로","월세","51.9980","202212","27","3,000","100","22","2022","동수천로 71","202212~202412","신규","-","","","아파트"
"129","인천광역시 부평구 십정동","630","0630","0000","더샵부평센트럴시티","월세","59.5385","202212","27","13,000","35","11","2022","열우물로 90","202302~202502","갱신","-","13,000","35","아파트"
"130","인천광역시 부평구 부평동","962","0962","0000","부평SKVIEW해모로","전세","59.9750","202212","27","20,500","0","17","2022","동수천로 71","202301~202501","신규","-","","","아파트"
