기준일ID,시간대구분,행정동코드,총생활인구수,남자0세부터9세생활인구수,남자10세부터14세생활인구수,남자15세부터19세생활인구수,남자20세부터24세생활인구수,남자25세부터29세생활인구수,남자30세부터34세생활인구수,남자35세부터39세생활인구수,남자40세부터44세생활인구수,남자45세부터49세생활인구수,남자50세부터54세생활인구수,남자55세부터59세생활인구수,남자60세부터64세생활인구수,남자65세부터69세생활인구수,남자70세이상생활인구수,여자0세부터9세생활인구수,여자10세부터14세생활인구수,여자15세부터19세생활인구수,여자20세부터24세생활인구수,여자25세부터29세생활인구수,여자30세부터34세생활인구수,여자35세부터39세생활인구수,여자40세부터44세생활인구수,여자45세부터49세생활인구수,여자50세부터54세생활인구수,여자55세부터59세생활인구수,여자60세부터64세생활인구수,여자65세부터69세생활인구수,여자70세이상생활인구수
20240825,0,11200570,21266.4176,773.8843,391.3983,588.3801,464.5691,456.3918,646.5034,993.5116,849.396,1102.8709,883.8237,734.9915,538.9507,376.3358,876.4166,825.7994,459.6941,605.7897,511.7353,604.2422,875.0844,1100.2043,1004.9536,1155.1508,826.8796,852.7577,679.7469,518.2402,1568.7172
20240825,0,11200580,12829.0634,428.3388,262.7297,456.4467,198.3895,305.1022,314.5993,452.8491,621.2748,494.6111,532.2677,513.1887,371.098,231.184,542.8356,614.0066,380.2933,350.0175,369.3702,332.1261,429.493,580.5033,686.8041,679.9351,538.8457,527.6697,419.5001,334.8863,860.6971
20240825,0,11200590,14686.6763,586.9224,323.9427,343.7869,278.7655,314.4128,380.1914,726.8209,763.0634,680.5647,555.1916,528.9985,398.4031,280.2672,581.1523,707.4456,324.1863,299.2126,301.2687,346.3018,591.1664,852.2956,907.661,717.9921,548.7987,553.4016,486.0555,392.4484,915.9594
20240825,0,11200615,23202.8099,1058.8031,342.8964,489.5087,481.1824,538.3162,684.756,1220.2262,1103.8276,1011.4244,855.7867,804.5639,611.2647,459.49,863.0572,899.2948,342.4588,457.2084,617.1771,623.6959,944.0326,1417.8552,1164.6568,1089.2189,925.9984,972.9156,806.0397,638.2057,1778.949
20240825,0,11200620,12131.7907,497.1165,162.7425,171.053,245.631,322.9033,375.8906,695.6238,677.2647,562.851,477.9744,448.95,355.5151,245.5731,518.6158,439.2981,143.317,173.2854,258.8376,377.3119,453.0905,777.2042,640.6802,500.1605,478.548,447.9766,425.4482,313.4357,945.4932
20240825,0,11200645,26085.6666,1764.1523,488.9194,408.5422,373.8151,527.0745,721.804,1399.4358,1207.9634,1292.1087,873.7251,838.3783,608.6023,470.9055,1096.0154,1506.5909,478.8883,453.4215,583.2747,533.8944,938.0514,1670.4146,1293.9388,1323.7926,996.1156,848.6791,852.3794,692.6464,1842.1385
20240825,0,11200650,13582.4696,343.3826,165.273,243.745,391.623,550.5363,595.1174,788.9391,564.6899,474.2863,569.834,594.7508,503.2655,354.9979,475.4888,314.9643,161.6188,276.6395,444.1052,524.7508,647.708,847.3383,486.2008,514.3599,584.9617,621.6673,507.2034,337.3347,697.6883
20240825,0,11200660,13317.6983,442.309,199.5034,265.8221,381.073,597.4119,628.2292,718.1776,660.6488,620.498,487.0343,464.681,386.132,275.1971,423.1098,353.6545,159.2101,297.0054,438.3396,624.7474,714.6309,724.5116,557.9128,580.1138,482.6119,476.2928,406.7059,320.3664,631.7688
20240825,0,11200670,16280.4222,348.0961,155.2655,331.0008,366.6312,662.8385,659.3883,897.1105,692.1693,665.4234,663.1552,778.1263,683.133,420.3487,616.5446,396.2113,203.8532,380.8078,566.6847,745.2273,646.0279,837.6558,596.4664,582.2707,641.6665,792.8261,630.1554,455.0124,866.3274
20240825,0,11200690,23356.4293,688.899,229.0067,446.7089,777.0583,1180.8169,1106.4572,1279.1446,1050.9533,1155.6396,761.7621,857.2137,674.8044,422.5629,830.8035,808.9513,286.6363,470.3386,1113.3827,1289.7619,1104.3698,1104.3615,841.9588,857.9962,843.0001,815.7894,629.503,479.6266,1248.9207
