"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2023-01-01 ~ 2023-12-31"
"실거래구분 : 아파트(전월세)"
"주소구분 : 지번주소"
"시도 : 인천광역시"
"시군구 : 부평구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"87","인천광역시 부평구 십정동","187-22","0187","0022","동보","전세","84.5220","202312","28","21,000","0","10","1998","상정로 11","202402~202602","신규","-","","","아파트"
"88","인천광역시 부평구 갈산동","362","0362","0000","하나","전세","84.7500","202312","28","26,000","0","12","1992","갈월서로 45","202402~202602","신규","-","","","아파트"
"89","인천광역시 부평구 십정동","630","0630","0000","더샵부평센트럴시티","월세","59.8032","202312","28","5,000","95","30","2022","열우물로 90","202402~202602","신규","-","","","아파트"
"90","인천광역시 부평구 산곡동","307","0307","0000","현대1차","월세","84.6000","202312","28","2,000","90","13","1986","경원대로 1269","202401~202601","신규","-","","","아파트"
"91","인천광역시 부평구 산곡동","294-35","0294","0035","우성1차2차(294-35)","전세","84.8400","202312","28","22,000","0","7","1989","부영로 165","202401~202601","갱신","-","30,000","0","아파트"
"92","인천광역시 부평구 부평동","65-7","0065","0007","욱일","전세","84.1600","202312","27","21,000","0","3","1991","부흥로243번길 39","202402~202602","신규","-","","","아파트"
"93","인천광역시 부평구 부평동","437-16","0437","0016","동호팰리스","월세","70.8900","202312","27","3,000","60","3","2003","주부토로65번길 35","202402~202602","신규","-","","","아파트"
"94","인천광역시 부평구 부평동","946","0946","0000","래미안부평(임대)","월세","39.0530","202312","27","3,848","44","2","2014","길주남로10번길 11","-","신규","-","","","아파트"
"95","인천광역시 부평구 부평동","161-12","0161","0012","현대렉스힐","월세","37.0600","202312","27","3,000","42","10","2013","동수천로 1","202401~202601","신규","-","","","아파트"
"96","인천광역시 부평구 삼산동","512","0512","0000","삼산3휴먼시아1단지","월세","46.9000","202312","27","3,156","25","8","2010","영성동로18번길 19","-","-","-","","","아파트"
"97","인천광역시 부평구 삼산동","513","0513","0000","서해그랑블","월세","84.9800","202312","27","5,000","120","7","2011","영성동로18번길 20","202402~202602","신규","-","","","아파트"
"98","인천광역시 부평구 삼산동","550","0550","0000","부평삼산신원아침도시","전세","59.9889","202312","27","26,000","0","13","2023","후정로 33","202402~202602","신규","-","","","아파트"
"99","인천광역시 부평구 삼산동","453-1","0453","0001","삼산타운7단지","월세","84.0700","202312","27","5,000","130","10","2004","체육관로 27","202401~202601","신규","-","","","아파트"
"100","인천광역시 부평구 삼산동","56-3","0056","0003","삼보","전세","55.1200","202312","27","16,000","0","7","1990","후정동로47번길 4","202402~202602","-","-","","","아파트"
"101","인천광역시 부평구 부개동","498-5","0498","0005","부개주공3","월세","39.9900","202312","27","12,000","10","13","1996","길주남로 144","202402~202602","신규","-","","","아파트"
"102","인천광역시 부평구 부개동","498-5","0498","0005","부개주공3","월세","39.9900","202312","27","12,000","10","13","1996","길주남로 144","202402~202602","신규","-","","","아파트"
"103","인천광역시 부평구 부개동","525","0525","0000","부개역코오롱하늘채","전세","84.9579","202312","27","42,000","0","4","2021","부평문화로 216","202402~202602","신규","-","","","아파트"
"104","인천광역시 부평구 갈산동","369","0369","0000","한국1,동아,팬더","월세","84.3600","202312","27","2,000","95","18","1993","갈월동로 42","202401~202601","신규","-","","","아파트"
"105","인천광역시 부평구 갈산동","416","0416","0000","태화(416)","전세","59.9300","202312","27","18,000","0","8","1994","부평북로 313","202401~202601","신규","-","","","아파트"
"106","인천광역시 부평구 갈산동","361-3","0361","0003","대동2","전세","45.0000","202312","27","15,000","0","13","1993","주부토로 201","202402~202602","신규","-","","","아파트"
"107","인천광역시 부평구 갈산동","359","0359","0000","주공1단지","전세","41.3000","202312","27","12,000","0","6","1992","굴포로 81","202402~202602","신규","-","","","아파트"
